Kabupaten/Kota,2018,2019,2020
Bogor,30008,52640,52852
Sukabumi,30428,52971,52953
Cianjur,25766,37442,37807
Bandung,29752,43498,42385
Garut,38703,54701,54630
Tasikmalaya,37175,53708,53601
Ciamis,25759,27736,28161
Kuningan,8932,9415,9374
Cirebon,34378,21315,19455
Majalengka,37613,28405,28762
Sumedang,13136,16147,16166
Indramayu,20450,15758,15052
Subang,18122,24864,25091
Purwakarta,6163,12390,11566
Karawang,7505,15146,15257
Bekasi,10523,18796,20315
Bandung Barat,15516,12119,12005
Pangandaran,36183,27468,28111
Kota Bogor,15275,6748,6698
Kota Sukabumi,4548,5146,4694
Kota Bandung,16823,19294,18336
Kota Cirebon,3569,5318,5298
Kota Bekasi,11577,9325,8070
Kota Depok,19892,14516,14716
Kota Cimahi,8673,6613,6538
Kota Tasikmalaya,25680,33101,33089
Kota Banjar,4058,5017,4961
