id,kode_provinsi,nama_provinsi,nama_kabupaten_penduduk,jumlah_penduduk_ribu,satuan,tahun
1,32,JAWA BARAT,BOGOR,5556.31,ribu,2022
2,32,JAWA BARAT,SUKABUMI,2775.31,ribu,2022
3,32,JAWA BARAT,CIANJUR,2529.81,ribu,2022
4,32,JAWA BARAT,BANDUNG,3687.25,ribu,2022
5,32,JAWA BARAT,GARUT,2648.95,ribu,2022
6,32,JAWA BARAT,TASIKMALAYA,1892.22,ribu,2022
7,32,JAWA BARAT,CIAMIS,1243.32,ribu,2022
8,32,JAWA BARAT,KUNINGAN,1189.01,ribu,2022
9,32,JAWA BARAT,CIREBON,2331.36,ribu,2022
10,32,JAWA BARAT,MAJALENGKA,1328.01,ribu,2022
11,32,JAWA BARAT,SUMEDANG,1168.84,ribu,2022
12,32,JAWA BARAT,INDRAMAYU,1873.4,ribu,2022
13,32,JAWA BARAT,SUBANG,1635.56,ribu,2022
14,32,JAWA BARAT,PURWAKARTA,1023.18,ribu,2022
15,32,JAWA BARAT,KARAWANG,2496.19,ribu,2022
16,32,JAWA BARAT,BEKASI,3193.84,ribu,2022
17,32,JAWA BARAT,BANDUNG BARAT,1834.23,ribu,2022
18,32,JAWA BARAT,PANGANDARAN,428.6,ribu,2022
19,32,JAWA BARAT,KOTA BOGOR,1060.94,ribu,2022
20,32,JAWA BARAT,KOTA SUKABUMI,355.42,ribu,2022
21,32,JAWA BARAT,KOTA BANDUNG,2484.15,ribu,2022
22,32,JAWA BARAT,KOTA CIREBON,338.94,ribu,2022
23,32,JAWA BARAT,KOTA BEKASI,2598.07,ribu,2022
24,32,JAWA BARAT,KOTA DEPOK,2113.62,ribu,2022
25,32,JAWA BARAT,KOTA CIMAHI,582.65,ribu,2022
26,32,JAWA BARAT,KOTA TASIKMALAYA,732.48,ribu,2022
27,32,JAWA BARAT,KOTA BANJAR,205.14,ribu,2022
28,32,JAWA BARAT,BOGOR,5627.02,ribu,2023
29,32,JAWA BARAT,SUKABUMI,2802.4,ribu,2023
30,32,JAWA BARAT,CIANJUR,2558.14,ribu,2023
31,32,JAWA BARAT,BANDUNG,3721.11,ribu,2023
32,32,JAWA BARAT,GARUT,2683.67,ribu,2023
33,32,JAWA BARAT,TASIKMALAYA,1907.05,ribu,2023
34,32,JAWA BARAT,CIAMIS,1251.54,ribu,2023
35,32,JAWA BARAT,KUNINGAN,1201.76,ribu,2023
36,32,JAWA BARAT,CIREBON,2360.44,ribu,2023
37,32,JAWA BARAT,MAJALENGKA,1340.62,ribu,2023
38,32,JAWA BARAT,SUMEDANG,1178.24,ribu,2023
39,32,JAWA BARAT,INDRAMAYU,1894.33,ribu,2023
40,32,JAWA BARAT,SUBANG,1649.82,ribu,2023
41,32,JAWA BARAT,PURWAKARTA,1037.07,ribu,2023
42,32,JAWA BARAT,KARAWANG,2526,ribu,2023
43,32,JAWA BARAT,BEKASI,3237.42,ribu,2023
44,32,JAWA BARAT,BANDUNG BARAT,1859.64,ribu,2023
45,32,JAWA BARAT,PANGANDARAN,431.46,ribu,2023
46,32,JAWA BARAT,KOTA BOGOR,1070.72,ribu,2023
47,32,JAWA BARAT,KOTA SUKABUMI,360.64,ribu,2023
48,32,JAWA BARAT,KOTA BANDUNG,2506.6,ribu,2023
49,32,JAWA BARAT,KOTA CIREBON,341.98,ribu,2023
50,32,JAWA BARAT,KOTA BEKASI,2627.21,ribu,2023
51,32,JAWA BARAT,KOTA DEPOK,2145.4,ribu,2023
52,32,JAWA BARAT,KOTA CIMAHI,590.78,ribu,2023
53,32,JAWA BARAT,KOTA TASIKMALAYA,741.76,ribu,2023
54,32,JAWA BARAT,KOTA BANJAR,207.51,ribu,2023
55,32,JAWA BARAT,BOGOR,5682.3,ribu,2024
56,32,JAWA BARAT,SUKABUMI,2828.02,ribu,2024
57,32,JAWA BARAT,CIANJUR,2584.99,ribu,2024
58,32,JAWA BARAT,BANDUNG,3753.12,ribu,2024
59,32,JAWA BARAT,GARUT,2716.95,ribu,2024
60,32,JAWA BARAT,TASIKMALAYA,1920.92,ribu,2024
61,32,JAWA BARAT,CIAMIS,1259.23,ribu,2024
62,32,JAWA BARAT,KUNINGAN,1213.93,ribu,2024
63,32,JAWA BARAT,CIREBON,2387.96,ribu,2024
64,32,JAWA BARAT,MAJALENGKA,1352.54,ribu,2024
65,32,JAWA BARAT,SUMEDANG,1187.13,ribu,2024
66,32,JAWA BARAT,INDRAMAYU,1914.04,ribu,2024
67,32,JAWA BARAT,SUBANG,1663.16,ribu,2024
68,32,JAWA BARAT,PURWAKARTA,1050.34,ribu,2024
69,32,JAWA BARAT,KARAWANG,2554.38,ribu,2024
70,32,JAWA BARAT,BEKASI,3273.87,ribu,2024
71,32,JAWA BARAT,BANDUNG BARAT,1884.19,ribu,2024
72,32,JAWA BARAT,PANGANDARAN,434.1,ribu,2024
73,32,JAWA BARAT,KOTA BOGOR,1078.35,ribu,2024
74,32,JAWA BARAT,KOTA SUKABUMI,365.74,ribu,2024
75,32,JAWA BARAT,KOTA BANDUNG,2528.16,ribu,2024
76,32,JAWA BARAT,KOTA CIREBON,344.85,ribu,2024
77,32,JAWA BARAT,KOTA BEKASI,2644.06,ribu,2024
78,32,JAWA BARAT,KOTA DEPOK,2163.64,ribu,2024
79,32,JAWA BARAT,KOTA CIMAHI,598.7,ribu,2024
80,32,JAWA BARAT,KOTA TASIKMALAYA,750.73,ribu,2024
81,32,JAWA BARAT,KOTA BANJAR,209.79,ribu,2024
