id,kode_provinsi,nama_provinsi,nama_stasiun,penumpang_naik_kereta,penumpang_turun_kereta,satuan,tahun
1,32,JAWA BARAT,ARJAWINANGUN,16086,14862,ORANG,2022
2,32,JAWA BARAT,BREBES,126242,104121,ORANG,2022
3,32,JAWA BARAT,BABAKAN,25306,25314,ORANG,2022
4,32,JAWA BARAT,CILEDUG,9289,8982,ORANG,2022
5,32,JAWA BARAT,CIREBON,439008,443692,ORANG,2022
6,32,JAWA BARAT,CIREBON PRUJAKAN,264312,250613,ORANG,2022
7,32,JAWA BARAT,HAURGEULIS,63960,58501,ORANG,2022
8,32,JAWA BARAT,JATIBARANG,151612,147828,ORANG,2022
9,32,JAWA BARAT,LOSARI,4696,2669,ORANG,2022
10,32,JAWA BARAT,PAGADEN BARU,26389,25334,ORANG,2022
11,32,JAWA BARAT,TERISI,4841,4866,ORANG,2022
12,32,JAWA BARAT,ARJAWINANGUN,26768,24487,ORANG,2023
13,32,JAWA BARAT,BREBES,179762,153737,ORANG,2023
14,32,JAWA BARAT,BABAKAN,45076,40368,ORANG,2023
15,32,JAWA BARAT,CILEDUG,14536,14205,ORANG,2023
16,32,JAWA BARAT,CIREBON,621950,628414,ORANG,2023
17,32,JAWA BARAT,CIREBON PRUJAKAN,348137,329688,ORANG,2023
18,32,JAWA BARAT,HAURGEULIS,107750,102665,ORANG,2023
19,32,JAWA BARAT,JATIBARANG,231054,226839,ORANG,2023
20,32,JAWA BARAT,LOSARI,7735,5920,ORANG,2023
21,32,JAWA BARAT,PAGADEN BARU,46137,44766,ORANG,2023
22,32,JAWA BARAT,TERISI,9892,9602,ORANG,2023
